ant
antelope
badger
bat
bear
bee
bison
buffalo
camel
capybara
cat
caterpillar
cheetah
chicken
chimpanzee
chipmunk
cow
coyote
crab
crocodile
crow
deer
dhole
dog
donkey
dove
duck
eagle
elephant
elk
emu
fish
fox
frog
geese
gharial
giraffe
goat
gorilla
hare
hawk
hedgehog
hippopotamus
horse
human
hyena
jackal
jaguar
kangaroo
koala
leopard
lion
lizard
llama
mole
mongoose
monkey
mudskiper
octopus 
okapi
ostrich
otter
owl
ox
panda
pig
porcupine
possum
rabbit
raccoon
rat
reindeer
rhinoceros
salamander
seal
shark
sheep
shrimp
sloth
snail
snake
squirrel
tiger
toad
tortoise
turkey
vulture
walrus
wolf
wombat
woodpecker
zebra
